goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     591	   2078472 ns/op	 2446360 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     573	   2044285 ns/op	 2446361 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     583	   2085718 ns/op	 2446361 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     573	   2037155 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     570	   2066142 ns/op	 2446362 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     579	   2113017 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     572	   2072216 ns/op	 2446358 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     367	   3123155 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     387	   3099562 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     367	   3074978 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     388	   3093031 ns/op	 3274136 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     379	   3061339 ns/op	 3274128 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     388	   3084850 ns/op	 3274137 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     398	   3088593 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     384	   3062608 ns/op	 3274142 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     391	   3092474 ns/op	 3274136 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     386	   3074161 ns/op	 3274130 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     388	   3070860 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     385	   3097812 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     387	   3146792 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     382	   3109974 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     388	   3112043 ns/op	 3274139 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     388	   3100634 ns/op	 3274130 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     387	   3081119 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     379	   3132135 ns/op	 3274138 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     399	   3112819 ns/op	 3274138 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     380	   3082366 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     414	   2928564 ns/op	 3048845 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     406	   2952289 ns/op	 3048838 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     411	   2934661 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     408	   2950818 ns/op	 3048847 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     411	   2958273 ns/op	 3048847 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     397	   2933541 ns/op	 3048845 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     411	   2951275 ns/op	 3048846 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     399	   2957594 ns/op	 3048844 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     404	   2980684 ns/op	 3048847 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     405	   2941553 ns/op	 3048840 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     478	   2513970 ns/op	 3416522 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     470	   2550757 ns/op	 3416527 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     465	   2559247 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     470	   2549270 ns/op	 3416524 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     489	   2526191 ns/op	 3416518 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     474	   2569284 ns/op	 3416519 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     435	   2577832 ns/op	 3416523 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     468	   2585841 ns/op	 3416523 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     469	   2567354 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     478	   2549347 ns/op	 3416523 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  54408072 ns/op	99519465 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  52124494 ns/op	99506956 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  53129994 ns/op	99452286 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      20	  54088475 ns/op	99478043 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  55635123 ns/op	99510860 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  53757434 ns/op	99493576 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  53080845 ns/op	99475660 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      22	  53214526 ns/op	99492214 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  52724211 ns/op	99454752 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  53955611 ns/op	99530353 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      25	  43751515 ns/op	68002236 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      26	  42360040 ns/op	68002273 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      28	  42121960 ns/op	68002189 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      25	  43869635 ns/op	68002271 B/op	  444574 allocs/op
