goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 2995839	       401.9 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 3014106	       442.1 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 2814052	       437.8 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 2589458	       414.2 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   16948	     62131 ns/op	  254798 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   18478	     61137 ns/op	  254792 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   21070	     58227 ns/op	  254784 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   20859	     58325 ns/op	  254785 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/A_bound-10         	   20380	     57932 ns/op	  254786 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   20061	     58973 ns/op	  254787 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   18948	     70394 ns/op	  254790 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   20138	     61268 ns/op	  254787 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   17989	     65586 ns/op	  254794 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/A_bound-10        	   20139	     62657 ns/op	  254787 B/op	    1016 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2763662	       405.1 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2975683	       417.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2923641	       413.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2837131	       416.6 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/V_bound-10         	 2920479	       475.6 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 2790097	       411.9 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 2913076	       416.3 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 2908969	       423.8 ns/op	    1368 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/V_bound-10        	 2889075	       436.8 ns/op	    1368 B/op	      13 allocs/op
