goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    4046	    313475 ns/op	  544824 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3633	    312365 ns/op	  544826 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3631	    312309 ns/op	  544826 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3682	    316867 ns/op	  544826 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3922	    312598 ns/op	  544826 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     661	   1771561 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     656	   1783973 ns/op	 2446365 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     684	   1776237 ns/op	 2446361 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     676	   1751748 ns/op	 2446362 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     666	   1772268 ns/op	 2446363 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     475	   2530880 ns/op	 3035803 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     484	   2532683 ns/op	 3035806 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     464	   2497215 ns/op	 3035810 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     478	   2511880 ns/op	 3035802 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     481	   2524656 ns/op	 3035802 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     468	   2524251 ns/op	 3036043 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     458	   2529111 ns/op	 3036041 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     476	   2489784 ns/op	 3036038 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     482	   2503251 ns/op	 3036045 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     483	   2496071 ns/op	 3036044 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     477	   2518040 ns/op	 2808846 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     469	   2528699 ns/op	 2808846 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     466	   2528792 ns/op	 2808849 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     470	   2574034 ns/op	 2808848 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     458	   2600861 ns/op	 2808850 B/op	   50086 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    3702	    299217 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4512	    259927 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4584	    266977 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4688	    257539 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4718	    261308 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3398	    347793 ns/op	  608272 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3442	    349209 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3480	    348834 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3556	    348150 ns/op	  608272 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3586	    347943 ns/op	  608274 B/op	   10034 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57019	     20973 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57268	     20959 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57081	     20939 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57280	     20989 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57298	     20935 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4600	    258562 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4581	    259735 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4208	    290440 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4197	    269070 ns/op	  479789 B/op	    8033 allocs/op
