goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     601	   1979435 ns/op	 2446346 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     625	   1972747 ns/op	 2446344 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     615	   1988466 ns/op	 2446349 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     601	   1986758 ns/op	 2446346 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     618	   1972442 ns/op	 2446344 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     608	   2012685 ns/op	 2446344 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     597	   1995528 ns/op	 2446346 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     615	   1997094 ns/op	 2446344 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     404	   2954172 ns/op	 3275825 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     405	   2935134 ns/op	 3275822 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     409	   2939868 ns/op	 3275825 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     409	   2956298 ns/op	 3275823 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     412	   2934861 ns/op	 3275825 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     397	   2948168 ns/op	 3275823 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     400	   2942090 ns/op	 3275822 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     414	   2945863 ns/op	 3275822 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     403	   2933890 ns/op	 3275823 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     410	   2893029 ns/op	 3275824 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     412	   2908930 ns/op	 3276061 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     409	   2975706 ns/op	 3276064 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     405	   2920930 ns/op	 3276064 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     405	   2923414 ns/op	 3276065 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     403	   2933328 ns/op	 3276062 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     404	   2913959 ns/op	 3276059 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     399	   2933101 ns/op	 3276062 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     397	   2904789 ns/op	 3276061 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     404	   2942804 ns/op	 3276063 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     410	   2994618 ns/op	 3276063 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     406	   2878061 ns/op	 3048870 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     420	   2891120 ns/op	 3048868 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     420	   2903274 ns/op	 3048872 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     410	   2862822 ns/op	 3048868 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     414	   2917638 ns/op	 3048872 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     411	   2893149 ns/op	 3048863 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     423	   2855238 ns/op	 3048866 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     416	   2904982 ns/op	 3048869 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     415	   2926484 ns/op	 3048871 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     404	   2896729 ns/op	 3048872 B/op	   55085 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    3976	    299367 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4074	    300776 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    3798	    303614 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4069	    298057 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4080	    301687 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4401	    301304 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4149	    298311 ns/op	  479773 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    3972	    299572 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4101	    296760 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    3903	    303402 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3080	    405569 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2991	    405957 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3021	    405572 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2954	    406412 ns/op	  656289 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2931	    407040 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2749	    408010 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2982	    404163 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2964	    408162 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    2986	    406874 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3026	    407627 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49156	     24466 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49096	     24434 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49197	     24425 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   48961	     24425 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   48745	     25848 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   48970	     24460 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49072	     24398 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49345	     24339 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49282	     24427 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   49110	     24564 ns/op	   43336 B/op	     825 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4536	    297611 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4224	    301238 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4029	    297597 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    3981	    295581 ns/op	  479771 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4119	    300803 ns/op	  479773 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    3889	    301516 ns/op	  479773 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    3912	    297516 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    3908	    299874 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4176	    297394 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4066	    294504 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     294	   4039971 ns/op	 4849289 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     292	   4048509 ns/op	 4849289 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     295	   4076732 ns/op	 4849290 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     298	   4057818 ns/op	 4849286 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     291	   4079085 ns/op	 4849286 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     295	   3989967 ns/op	 4849286 B/op	   80095 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     297	   4047306 ns/op	 4849288 B/op	   80095 allocs/op
