goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     925	   1266684 ns/op	 2446336 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     664	   1864439 ns/op	 3275785 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     639	   1868916 ns/op	 3275787 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     661	   1903580 ns/op	 3275788 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     660	   1783539 ns/op	 3275784 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     674	   1825874 ns/op	 3275787 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     621	   1838814 ns/op	 3275784 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     654	   1827888 ns/op	 3275785 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     574	   1871753 ns/op	 3275786 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     649	   1833448 ns/op	 3275784 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     669	   1805060 ns/op	 3275786 B/op	   55084 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     668	   1828214 ns/op	 3276026 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     649	   1836438 ns/op	 3276022 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     644	   1875606 ns/op	 3276024 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     638	   1942944 ns/op	 3276023 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     546	   1965401 ns/op	 3276022 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     646	   1842502 ns/op	 3276025 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     633	   1866585 ns/op	 3276024 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     650	   1851972 ns/op	 3276025 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     649	   1863398 ns/op	 3276026 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     636	   1861455 ns/op	 3276021 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     649	   1843510 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     657	   1822339 ns/op	 3048826 B/op	   55086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     654	   1844378 ns/op	 3048826 B/op	   55086 allocs/op
