goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     688	   1745707 ns/op	 3275806 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     685	   1756531 ns/op	 3275804 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     685	   1734039 ns/op	 3275810 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     700	   1717562 ns/op	 3275807 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     696	   1739027 ns/op	 3275806 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     703	   1735930 ns/op	 3275805 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     691	   1734023 ns/op	 3275811 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     691	   1728606 ns/op	 3276045 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     684	   1735209 ns/op	 3276047 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     690	   1749676 ns/op	 3276045 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     674	   1747960 ns/op	 3276049 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     711	   1720600 ns/op	 3276046 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     704	   1731211 ns/op	 3276045 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     687	   1733338 ns/op	 3276046 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     696	   1734884 ns/op	 3276042 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     699	   1940737 ns/op	 3276049 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-10     	     685	   1767170 ns/op	 3276046 B/op	   55082 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     709	   1710775 ns/op	 3048849 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     717	   1685860 ns/op	 3048850 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     712	   1669137 ns/op	 3048850 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     715	   1701298 ns/op	 3048845 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     717	   1679079 ns/op	 3048846 B/op	   55085 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-10  	     705	   1733328 ns/op	 3048848 B/op	   55085 allocs/op
