goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32654	     37332 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   31330	     37513 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32566	     36938 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32296	     36938 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36524	     32742 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36514	     32869 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36717	     32838 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36681	     32706 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   36652	     32627 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3489	    370846 ns/op	  479799 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3214	    372992 ns/op	  479792 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3288	    374560 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3313	    372562 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3229	    373796 ns/op	  479791 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2299	    514851 ns/op	  655812 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2401	    515929 ns/op	  655809 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2270	    519695 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2312	    521233 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2349	    516510 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2364	    514529 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2343	    511914 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2346	    515268 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2271	    513146 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2234	    515444 ns/op	  655813 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2443	    480336 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2475	    484898 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2462	    487956 ns/op	  592828 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2565	    478293 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2568	    480102 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     559	   2112118 ns/op	 2446367 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     568	   2090650 ns/op	 2446358 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     574	   2121683 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     554	   2098544 ns/op	 2446356 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     566	   2103705 ns/op	 2446358 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     370	   3140336 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     374	   3163789 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     376	   3165612 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     390	   3166253 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     390	   3131804 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     379	   3167937 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     373	   3156392 ns/op	 3274138 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     387	   3139353 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     382	   3124995 ns/op	 3274136 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     382	   3176504 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     404	   2963631 ns/op	 3048838 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     396	   2932444 ns/op	 3048846 B/op	   55086 allocs/op
