goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
                                                  │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_base.txt │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_head.txt │
                                                  │                                                          sec/op                                                           │                                               sec/op                                                vs base               │
HashJoinInputTypes/mat_x_stream/size_1000-10                                                                                                                      9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/stream_x_stream/size_1000-10                                                                                                                   9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_mat/size_5000-10                                                                                                                         35.06k ± 0%                                                                                        35.06k ± 0%  -0.00% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_5000-10                                                                                                                      45.08k ± 0%                                                                                        45.08k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_stream/size_5000-10                                                                                                                      45.08k ± 0%                                                                                        45.08k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/stream_x_stream/size_5000-10                                                                                                                   45.09k ± 0%                                                                                        45.09k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinMaterializedVsStreaming/materialized-10                                                                                                                   7.033k ± 0%                                                                                        7.032k ± 0%  -0.01% (p=0.000 n=10)
HashJoinMaterializedVsStreaming/streaming-10                                                                                                                      9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinStreaming/size_100-10                                                                                                                                      726.0 ± 0%                                                                                         725.0 ± 0%  -0.14% (p=0.000 n=10)
HashJoinStreaming/size_1000-10                                                                                                                                    7.033k ± 0%                                                                                        7.032k ± 0%  -0.01% (p=0.000 n=10)
HashJoinStreaming/size_10000-10                                                                                                                                   70.10k ± 0%                                                                                        70.09k ± 0%  -0.00% (p=0.000 n=10)
HashJoinSingleIteration-10                                                                                                                                        7.033k ± 0%                                                                                        7.032k ± 0%  -0.01% (p=0.000 n=10)
HashJoinLargeResult/size_10000-10                                                                                                                                 70.10k ± 0%                                                                                        70.09k ± 0%  -0.00% (p=0.000 n=10)
HashJoinLargeResult/size_50000-10                                                                                                                                 350.3k ± 0%                                                                                        350.3k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityKeys/mat_x_mat/size_100-10                                                                                                                         726.0 ± 0%                                                                                         725.0 ± 0%  -0.14% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_100-10                                                                                                                      928.0 ± 0%                                                                                         928.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_stream/size_100-10                                                                                                                      928.0 ± 0%                                                                                         928.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/stream_x_stream/size_100-10                                                                                                                   925.0 ± 0%                                                                                         925.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_mat/size_1000-10                                                                                                                       7.033k ± 0%                                                                                        7.032k ± 0%  -0.01% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_1000-10                                                                                                                    9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_stream/size_1000-10                                                                                                                    9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/stream_x_stream/size_1000-10                                                                                                                 9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_mat/size_5000-10                                                                                                                       35.06k ± 0%                                                                                        35.06k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityKeys/stream_x_mat/size_5000-10                                                                                                                    45.08k ± 0%                                                                                        45.08k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/mat_x_stream/size_5000-10                                                                                                                    45.08k ± 0%                                                                                        45.08k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityKeys/stream_x_stream/size_5000-10                                                                                                                 45.09k ± 0%                                                                                        45.09k ± 0%       ~ (p=1.000 n=10) ¹
HashJoinIdentityHighFanout/keys100/fanout10-10                                                                                                                    23.70k ± 0%                                                                                        23.70k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityHighFanout/keys100/fanout50-10                                                                                                                    517.9k ± 0%                                                                                        517.9k ± 0%  -0.00% (p=0.012 n=10)
HashJoinIdentityHighFanout/keys500/fanout20-10                                                                                                                    434.6k ± 0%                                                                                        434.6k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityDuplicates/keys10/reps100-10                                                                                                                      103.1k ± 0%                                                                                        103.1k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityDuplicates/keys50/reps50-10                                                                                                                       133.0k ± 0%                                                                                        133.0k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityLargeResult/size_10000-10                                                                                                                         70.10k ± 0%                                                                                        70.09k ± 0%  -0.00% (p=0.000 n=10)
HashJoinIdentityLargeResult/size_50000-10                                                                                                                         350.3k ± 0%                                                                                        350.3k ± 0%  -0.00% (p=0.000 n=10)
geomean                                                                                                                                                           14.10k                                                                                             14.10k       -0.01%
¹ all samples are equal
