goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     535	   2294265 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      25	  46902458 ns/op	99497711 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      24	  47694788 ns/op	99524484 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      25	  46072523 ns/op	99494428 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      21	  48096573 ns/op	99503038 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      25	  47324787 ns/op	99497723 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      28	  37509307 ns/op	68002234 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      30	  38533465 ns/op	68002260 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      28	  37037506 ns/op	68002217 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      30	  36882567 ns/op	68002241 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      28	  37425952 ns/op	68002272 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     164	   7234779 ns/op	 5129462 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     166	   7214866 ns/op	 5129471 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     168	   7156129 ns/op	 5129472 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     166	   7195860 ns/op	 5129465 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     165	   7144093 ns/op	 5129475 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     129	   9113154 ns/op	 6728335 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     132	   9094896 ns/op	 6728325 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     127	   9132947 ns/op	 6728324 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     132	   9156969 ns/op	 6728329 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     130	   9139098 ns/op	 6728324 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     358	   3380551 ns/op	 4849300 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     356	   3394028 ns/op	 4849301 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     351	   3362899 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     352	   3384593 ns/op	 4849302 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     352	   3327154 ns/op	 4849303 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      69	  15163844 ns/op	24366484 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      79	  15305209 ns/op	24366485 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      74	  15240254 ns/op	24366490 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      76	  15164267 ns/op	24366498 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      85	  15395071 ns/op	24366486 B/op	  400295 allocs/op
PASS
goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   57534	     20657 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   57958	     20653 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   58352	     20831 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   57662	     20641 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   57988	     20657 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   41600	     28782 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   41598	     28838 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   41614	     28886 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   41676	     28875 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   41659	     28911 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41643	     29064 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41264	     29110 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41372	     29090 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41154	     29147 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41205	     29083 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   45621	     26448 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   45567	     26514 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   45069	     26518 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   44785	     26510 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   45028	     26509 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    4060	    320303 ns/op	  479801 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3708	    331779 ns/op	  479791 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3645	    322619 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3794	    322600 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3859	    317089 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2770	    447174 ns/op	  655814 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2655	    452706 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2655	    450432 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2677	    451082 ns/op	  655813 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2570	    452219 ns/op	  655812 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2752	    450199 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2690	    450063 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2641	    448599 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2671	    451534 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2792	    445886 ns/op	  655812 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2869	    433441 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2935	    431708 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2732	    477094 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2762	    478481 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2907	    436179 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     651	   1804015 ns/op	 2446367 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     675	   1827836 ns/op	 2446362 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     650	   1830715 ns/op	 2446361 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     670	   1786594 ns/op	 2446359 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     667	   1817060 ns/op	 2446357 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     439	   2772995 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     424	   2773415 ns/op	 3274133 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     422	   2776781 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     433	   2749210 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     439	   2733246 ns/op	 3274133 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     426	   2756467 ns/op	 3274128 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     442	   2762865 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     430	   2737517 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     434	   2782649 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     422	   2806413 ns/op	 3274133 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     440	   2701463 ns/op	 3048844 B/op	   55086 allocs/op
